Key,en,ko,reviewed
LicensePopup.ThirdPartyLicense.NotFound,License not found. Confirm permitted use with the creator.,라이선스를 찾을 수 없습니다. 제작자에게 허용된 사용 범위를 확인하세요.,True
LicensePopup.Close,Close,닫기,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,저장 폴더 열기,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,기본 제공 모델의 샘플 캐릭터 불러오기,True
MainMenu.Settings.ModelSettings,Model Settings,모델 설정,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,캐릭터 데이터를 저장하는 중...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,>캐릭터 불러오는 중...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,제3자 라이선스,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),최종 사용자 라이선스 계약(EULA),True
MainMenu.Info.Documentation,Documentation,사용 설명서,True
MainMenu.Info.Discord,Join Our Discord,디스코드 참여하기,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",이 프리셋은 올바른 포맷과 크기를 자동으로 설정합니다. 단, 애니메이션이 너무 길면 플랫폼의 파일 용량 제한을 초과할 수 있으며, 일부 플랫폼에서는 특정 콘텐츠의 사용을 제한할 수 있습니다.,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,로컬 모델 폴더 열기,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,캐릭터 폴더 열기,True
MainMenu.Info.Log,Open Log Folder,로그 폴더 열기,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,전역 색상표 사용,True
MainMenu.Editor.ExportStatic,Export Static Image,이미지 내보내기,True
MainMenu.Editor.Player.Speed,Speed,속도,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,이미지 설정,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,이미지 설정 초기화,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,샘플링 속도,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,이 토글로 내장 텍스처와 커스텀 텍스처를 전환할 수 있습니다.,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Custom Texture 폴더에서 PNG를 편집합니다. 저장 시 투명도를 유지하고 이미지 크기를 변경하지 마세요.,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",편집 내용을 저장한 후 이 버튼을 클릭하면 모델에 변경 사항이 적용됩니다.,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,캐릭터를 저장하세요. 저장 버튼은 인터페이스 왼쪽의 캐릭터 목록 아래에 있습니다.,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,이 기능을 사용하기 전에 사용자 정의 텍스처 사용 매뉴얼을 읽어주세요.,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,사용자 정의 텍스처,True
MainMenu.Editor.Texture.Step1,Step 1,1단계,True
MainMenu.Editor.Texture.Step2,Step 2,2단계,True
MainMenu.Editor.Texture.Step3,Step 3,3단계,True
MainMenu.Editor.Texture.Step4,Step 4,4단계,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,선택한 외곽선 수정,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,선택한 이미지 시트 초기화,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,텍스처 도구,True
MainMenu.Editor.Texture.SelectAll,Select All,전체 선택,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,선택 전환,True
MainMenu.Editor.Texture.AtlasList,Atlas List,이미지 시트 목록,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,선택한 이미지 시트 페이지를 기본(내장) 버전으로 초기화합니다. 저장하지 않은 편집 내용은 사라지며 복구할 수 없습니다. 계속하시겠습니까?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,색상 추출,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,선택한 텍스처 파일을 덮어쓰며, 이 작업은 되돌릴 수 없습니다. 계속하시겠습니까?,True
